direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Nov 16, 2022",1668556800,2022-11-16T00:00:00Z,"110,243","113,166","113,473","109,512",18.35M,18351034,-2.58,110243.32812500000000,113166.25000000000000,113473.39062500000000,109512.21875000000000,-2.5785790800243347
greenFont,"Nov 14, 2022",1668384000,2022-11-14T00:00:00Z,"113,161","112,256","114,322","111,930",15.08M,15080423,0.81,113161.28125000000000,112255.53906250000000,114322.31250000000000,111930.35156250000000,0.8086956092053651
greenFont,"Nov 11, 2022",1668124800,2022-11-11T00:00:00Z,"112,253","109,775","113,010","109,408",25.04M,25038732,2.26,112253.49218750000000,109775.46093750000000,113009.61718750000000,109408.10156250000000,2.2573635572442297
redFont,"Nov 10, 2022",1668038400,2022-11-10T00:00:00Z,"109,775","113,579","113,579","108,516",26.03M,26029316,-3.35,109775.46093750000000,113578.78125000000000,113578.78125000000000,108516.46093750000000,-3.349735580315983
redFont,"Nov 09, 2022",1667952000,2022-11-09T00:00:00Z,"113,580","116,153","116,183","113,110",20.53M,20531572,-2.22,113580.09375000000000,116153.42187500000000,116182.72656250000000,113109.53125000000000,-2.2212896033735694
greenFont,"Nov 08, 2022",1667865600,2022-11-08T00:00:00Z,"116,160","115,340","117,072","114,688",14.24M,14239833,0.71,116160.35156250000000,115339.64062500000000,117072.45312500000000,114687.75000000000000,0.7091521730781593
redFont,"Nov 07, 2022",1667779200,2022-11-07T00:00:00Z,"115,342","118,148","118,240","115,221",15.22M,15221902,-2.38,115342.39843750000000,118148.46875000000000,118239.85937500000000,115220.95312500000000,-2.3808146298781816
greenFont,"Nov 04, 2022",1667520000,2022-11-04T00:00:00Z,"118,155","116,907","120,039","116,904",16.21M,16209462,1.08,118155.46093750000000,116907.17968750000000,120039.36718750000000,116904.14062500000000,1.0771093036874144
redFont,"Nov 03, 2022",1667433600,2022-11-03T00:00:00Z,"116,896","116,927","117,373","114,485",15.63M,15634586,-0.03,116896.35937500000000,116927.42187500000000,117373.00781250000000,114485.13281250000000,-0.027621009285309393
greenFont,"Nov 01, 2022",1667260800,2022-11-01T00:00:00Z,"116,929","116,037","118,261","115,547",17.97M,17969688,0.77,116928.65625000000000,116037.25781250000000,118261.20312500000000,115547.46093750000000,0.7683562352712421
greenFont,"Oct 31, 2022",1667174400,2022-10-31T00:00:00Z,"116,037","114,533","116,763","112,113",21.64M,21637928,1.31,116037.07812500000000,114533.14062500000000,116763.46875000000000,112113.34375000000000,1.3078782222056098
redFont,"Oct 28, 2022",1666915200,2022-10-28T00:00:00Z,"114,539","114,636","114,712","113,336",14.39M,14392435,-0.09,114539.04687500000000,114636.17968750000000,114712.07031250000000,113336.06250000000000,-0.08872144553192217
greenFont,"Oct 27, 2022",1666828800,2022-10-27T00:00:00Z,"114,641","112,766","116,236","112,765",15.53M,15530769,1.66,114640.75781250000000,112765.63281250000000,116235.75781250000000,112765.24218750000000,1.6645137287464498
redFont,"Oct 26, 2022",1666742400,2022-10-26T00:00:00Z,"112,764","114,626","114,626","112,577",16.09M,16088220,-1.62,112763.78906250000000,114625.59375000000000,114625.59375000000000,112577.14843750000000,-1.624248674829656
