direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Dec 08, 2022",1670457600,2022-12-08T00:00:00Z,242.180,242.180,242.180,242.180,,0,-1.26,242.17999267578125,242.17999267578125,242.17999267578125,242.17999267578125,-1.2558109353496054
greenFont,"Dec 07, 2022",1670371200,2022-12-07T00:00:00Z,245.260,245.260,245.260,245.260,,0,0.93,245.25999450683594,245.25999450683594,245.25999450683594,245.25999450683594,0.9300388917020319
greenFont,"Dec 06, 2022",1670284800,2022-12-06T00:00:00Z,243.000,243.000,243.000,243.000,,0,4.86,243.00000000000000,243.00000000000000,243.00000000000000,243.00000000000000,4.858891102066574
redFont,"Dec 05, 2022",1670198400,2022-12-05T00:00:00Z,231.740,231.740,231.740,231.740,,0,-2.29,231.74000549316406,231.74000549316406,231.74000549316406,231.74000549316406,-2.293611329204106
redFont,"Dec 02, 2022",1669939200,2022-12-02T00:00:00Z,237.180,237.180,237.180,237.180,,0,-6.23,237.17999267578125,237.17999267578125,237.17999267578125,237.17999267578125,-6.227019513731282
redFont,"Dec 01, 2022",1669852800,2022-12-01T00:00:00Z,252.930,252.930,252.930,252.930,,0,-0.12,252.92999267578125,252.92999267578125,252.92999267578125,252.92999267578125,-0.11847058279801835
redFont,"Nov 30, 2022",1669766400,2022-11-30T00:00:00Z,253.230,253.230,253.230,253.230,,0,-3.25,253.22999572753906,253.22999572753906,253.22999572753906,253.22999572753906,-3.24762728842474
greenFont,"Nov 29, 2022",1669680000,2022-11-29T00:00:00Z,261.730,261.730,261.730,261.730,,0,1.87,261.73001098632812,261.73001098632812,261.73001098632812,261.73001098632812,1.8721770618102083
greenFont,"Nov 28, 2022",1669593600,2022-11-28T00:00:00Z,256.920,256.920,256.920,256.920,,0,0.05,256.92001342773438,256.92001342773438,256.92001342773438,256.92001342773438,0.05452708509350955
redFont,"Nov 25, 2022",1669334400,2022-11-25T00:00:00Z,256.780,256.780,256.780,256.780,,0,-0.01,256.77999877929688,256.77999877929688,256.77999877929688,256.77999877929688,-0.011681312870239983
redFont,"Nov 24, 2022",1669248000,2022-11-24T00:00:00Z,256.810,256.810,256.810,256.810,,0,-1.66,256.80999755859375,256.80999755859375,256.80999755859375,256.80999755859375,-1.6618787820500311
greenFont,"Nov 23, 2022",1669161600,2022-11-23T00:00:00Z,261.150,261.150,261.150,261.150,,0,0.08,261.14999389648438,261.14999389648438,261.14999389648438,261.14999389648438,0.07663601459978646
redFont,"Nov 22, 2022",1669075200,2022-11-22T00:00:00Z,260.950,260.950,260.950,260.950,,0,-2.63,260.95001220703125,260.95001220703125,260.95001220703125,260.95001220703125,-2.6305924600629664
greenFont,"Nov 21, 2022",1668988800,2022-11-21T00:00:00Z,268.000,268.000,268.000,268.000,,0,1.83,268.00000000000000,268.00000000000000,268.00000000000000,268.00000000000000,1.827576091027468
greenFont,"Nov 18, 2022",1668729600,2022-11-18T00:00:00Z,263.190,263.190,263.190,263.190,,0,0.96,263.19000244140625,263.19000244140625,263.19000244140625,263.19000244140625,0.9628701228125341
greenFont,"Nov 17, 2022",1668643200,2022-11-17T00:00:00Z,260.680,260.680,260.680,260.680,,0,2.51,260.67999267578125,260.67999267578125,260.67999267578125,260.67999267578125,2.5088437072196634
greenFont,"Nov 16, 2022",1668556800,2022-11-16T00:00:00Z,254.300,254.300,254.300,254.300,,0,0.10,254.30000305175781,254.30000305175781,254.30000305175781,254.30000305175781,0.09840582444278392
redFont,"Nov 15, 2022",1668470400,2022-11-15T00:00:00Z,254.050,254.050,254.050,254.050,,0,-4.38,254.05000305175781,254.05000305175781,254.05000305175781,254.05000305175781,-4.381045309454373
greenFont,"Nov 14, 2022",1668384000,2022-11-14T00:00:00Z,265.690,265.690,265.690,265.690,,0,0.48,265.69000244140625,265.69000244140625,265.69000244140625,265.69000244140625,0.48409619967805406
greenFont,"Nov 11, 2022",1668124800,2022-11-11T00:00:00Z,264.410,264.410,264.410,264.410,,0,0.78,264.41000366210938,264.41000366210938,264.41000366210938,264.41000366210938,0.7775311898796604
greenFont,"Nov 10, 2022",1668038400,2022-11-10T00:00:00Z,262.370,262.370,262.370,262.370,,0,2.13,262.36999511718750,262.36999511718750,262.36999511718750,262.36999511718750,2.1292336904092006
greenFont,"Nov 09, 2022",1667952000,2022-11-09T00:00:00Z,256.900,256.900,256.900,256.900,,0,0.11,256.89999389648438,256.89999389648438,256.89999389648438,256.89999389648438,0.10911027379959672
redFont,"Nov 08, 2022",1667865600,2022-11-08T00:00:00Z,256.620,256.620,256.620,256.620,,0,0.00,256.61999511718750,256.61999511718750,256.61999511718750,256.61999511718750,0.0
redFont,"Nov 07, 2022",1667779200,2022-11-07T00:00:00Z,256.620,256.620,256.620,256.620,,0,-3.86,256.61999511718750,256.61999511718750,256.61999511718750,256.61999511718750,-3.855235249237175
redFont,"Nov 04, 2022",1667520000,2022-11-04T00:00:00Z,266.910,266.910,266.910,266.910,,0,-0.68,266.91000366210938,266.91000366210938,266.91000366210938,266.91000366210938,-0.6846498001453488
redFont,"Nov 03, 2022",1667433600,2022-11-03T00:00:00Z,268.750,268.750,268.750,268.750,,0,-1.63,268.75000000000000,268.75000000000000,268.75000000000000,268.75000000000000,-1.6324408310709413
greenFont,"Nov 02, 2022",1667347200,2022-11-02T00:00:00Z,273.210,273.210,273.210,273.210,,0,0.22,273.20999145507812,273.20999145507812,273.20999145507812,273.20999145507812,0.22009689144065903
redFont,"Nov 01, 2022",1667260800,2022-11-01T00:00:00Z,272.610,272.610,272.610,272.610,,0,-0.07,272.60998535156250,272.60998535156250,272.60998535156250,272.60998535156250,-0.06964899190187837
redFont,"Oct 31, 2022",1667174400,2022-10-31T00:00:00Z,272.800,272.800,272.800,272.800,,0,-2.40,272.79998779296875,272.79998779296875,272.79998779296875,272.79998779296875,-2.4006374506167933
redFont,"Oct 28, 2022",1666915200,2022-10-28T00:00:00Z,279.510,279.510,279.510,279.510,,0,-0.45,279.51000976562500,279.51000976562500,279.51000976562500,279.51000976562500,-0.448758520265327
greenFont,"Oct 27, 2022",1666828800,2022-10-27T00:00:00Z,280.770,280.770,280.770,280.770,,0,1.45,280.76998901367188,280.76998901367188,280.76998901367188,280.76998901367188,1.4452434002164911
redFont,"Oct 26, 2022",1666742400,2022-10-26T00:00:00Z,276.770,276.770,276.770,276.770,,0,-1.18,276.76998901367188,276.76998901367188,276.76998901367188,276.76998901367188,-1.1818043834916108
redFont,"Oct 25, 2022",1666656000,2022-10-25T00:00:00Z,280.080,280.080,280.080,280.080,,0,-1.46,280.07998657226562,280.07998657226562,280.07998657226562,280.07998657226562,-1.4635532666178226
redFont,"Oct 24, 2022",1666569600,2022-10-24T00:00:00Z,284.240,284.240,284.240,284.240,,0,-2.71,284.23999023437500,284.23999023437500,284.23999023437500,284.23999023437500,-2.7108479355353774
redFont,"Oct 21, 2022",1666310400,2022-10-21T00:00:00Z,292.160,292.160,292.160,292.160,,0,-1.04,292.16000366210938,292.16000366210938,292.16000366210938,292.16000366210938,-1.0398696643211247
greenFont,"Oct 20, 2022",1666224000,2022-10-20T00:00:00Z,295.230,295.230,295.230,295.230,,0,0.94,295.23001098632812,295.23001098632812,295.23001098632812,295.23001098632812,0.936791289766026
redFont,"Oct 19, 2022",1666137600,2022-10-19T00:00:00Z,292.490,292.490,292.490,292.490,,0,-2.87,292.48999023437500,292.48999023437500,292.48999023437500,292.48999023437500,-2.8724261118738648
redFont,"Oct 18, 2022",1666051200,2022-10-18T00:00:00Z,301.140,301.140,301.140,301.140,,0,-2.03,301.14001464843750,301.14001464843750,301.14001464843750,301.14001464843750,-2.0332475689388074
greenFont,"Oct 17, 2022",1665964800,2022-10-17T00:00:00Z,307.390,307.390,307.390,307.390,,0,2.43,307.39001464843750,307.39001464843750,307.39001464843750,307.39001464843750,2.4291930678626112
greenFont,"Oct 14, 2022",1665705600,2022-10-14T00:00:00Z,300.100,300.100,300.100,300.100,,0,0.96,300.10000610351562,300.10000610351562,300.10000610351562,300.10000610351562,0.9587909515611859
greenFont,"Oct 13, 2022",1665619200,2022-10-13T00:00:00Z,297.250,297.250,297.250,297.250,,0,0.90,297.25000000000000,297.25000000000000,297.25000000000000,297.25000000000000,0.8961049454203431
redFont,"Oct 12, 2022",1665532800,2022-10-12T00:00:00Z,294.610,294.610,294.610,294.610,,0,-0.08,294.60998535156250,294.60998535156250,294.60998535156250,294.60998535156250,-0.08140435712552055
redFont,"Oct 11, 2022",1665446400,2022-10-11T00:00:00Z,294.850,294.850,294.850,294.850,,0,-0.03,294.85000610351562,294.85000610351562,294.85000610351562,294.85000610351562,-0.027120528346384506
greenFont,"Oct 10, 2022",1665360000,2022-10-10T00:00:00Z,294.930,294.930,294.930,294.930,,0,3.39,294.92999267578125,294.92999267578125,294.92999267578125,294.92999267578125,3.386267057221504
greenFont,"Oct 07, 2022",1665100800,2022-10-07T00:00:00Z,285.270,285.270,285.270,285.270,,0,0.36,285.26998901367188,285.26998901367188,285.26998901367188,285.26998901367188,0.3553012078201264
greenFont,"Oct 06, 2022",1665014400,2022-10-06T00:00:00Z,284.260,284.260,284.260,284.260,,0,2.34,284.26000976562500,284.26000976562500,284.26000976562500,284.26000976562500,2.3438378994149414
redFont,"Oct 05, 2022",1664928000,2022-10-05T00:00:00Z,277.750,277.750,277.750,277.750,,0,-1.59,277.75000000000000,277.75000000000000,277.75000000000000,277.75000000000000,-1.5873616596163995
redFont,"Oct 04, 2022",1664841600,2022-10-04T00:00:00Z,282.230,282.230,282.230,282.230,,0,-8.21,282.23001098632812,282.23001098632812,282.23001098632812,282.23001098632812,-8.21489480967924
greenFont,"Oct 03, 2022",1664755200,2022-10-03T00:00:00Z,307.490,307.490,307.490,307.490,,0,0.30,307.48999023437500,307.48999023437500,307.48999023437500,307.48999023437500,0.3033640015617164
greenFont,"Sep 30, 2022",1664496000,2022-09-30T00:00:00Z,306.560,306.560,306.560,306.560,,0,4.81,306.55999755859375,306.55999755859375,306.55999755859375,306.55999755859375,4.810423533791471
redFont,"Sep 29, 2022",1664409600,2022-09-29T00:00:00Z,292.490,292.490,292.490,292.490,,0,-5.29,292.48999023437500,292.48999023437500,292.48999023437500,292.48999023437500,-5.294005406484877
greenFont,"Sep 28, 2022",1664323200,2022-09-28T00:00:00Z,308.840,308.840,308.840,308.840,,0,4.56,308.83999633789062,308.83999633789062,308.83999633789062,308.83999633789062,4.556839065805477
greenFont,"Sep 27, 2022",1664236800,2022-09-27T00:00:00Z,295.380,295.380,295.380,295.380,,0,6.03,295.38000488281250,295.38000488281250,295.38000488281250,295.38000488281250,6.034388884884197
greenFont,"Sep 26, 2022",1664150400,2022-09-26T00:00:00Z,278.570,278.570,278.570,278.570,,0,5.40,278.57000732421875,278.57000732421875,278.57000732421875,278.57000732421875,5.395183646983978
greenFont,"Sep 23, 2022",1663891200,2022-09-23T00:00:00Z,264.310,264.310,264.310,264.310,,0,1.24,264.30999755859375,264.30999755859375,264.30999755859375,264.30999755859375,1.2449245500626929
redFont,"Sep 22, 2022",1663804800,2022-09-22T00:00:00Z,261.060,261.060,261.060,261.060,,0,0.00,261.05999755859375,261.05999755859375,261.05999755859375,261.05999755859375,-0.003834130824751933
greenFont,"Sep 21, 2022",1663718400,2022-09-21T00:00:00Z,261.070,261.070,261.070,261.070,,0,10.47,261.07000732421875,261.07000732421875,261.07000732421875,261.07000732421875,10.473087014610782
redFont,"Sep 20, 2022",1663632000,2022-09-20T00:00:00Z,236.320,236.320,236.320,236.320,,0,-2.42,236.32000732421875,236.32000732421875,236.32000732421875,236.32000732421875,-2.4156546595195607
redFont,"Sep 19, 2022",1663545600,2022-09-19T00:00:00Z,242.170,242.170,242.170,242.170,,0,0.00,242.16999816894531,242.16999816894531,242.16999816894531,242.16999816894531,0.0
greenFont,"Sep 16, 2022",1663286400,2022-09-16T00:00:00Z,242.170,242.170,242.170,242.170,,0,0.83,242.16999816894531,242.16999816894531,242.16999816894531,242.16999816894531,0.8327434797218589
greenFont,"Sep 15, 2022",1663200000,2022-09-15T00:00:00Z,240.170,240.170,240.170,240.170,,0,3.40,240.16999816894531,240.16999816894531,240.16999816894531,240.16999816894531,3.401211413944524
redFont,"Sep 14, 2022",1663113600,2022-09-14T00:00:00Z,232.270,232.270,232.270,232.270,,0,-9.51,232.27000427246094,232.27000427246094,232.27000427246094,232.27000427246094,-9.506373116758057
greenFont,"Sep 13, 2022",1663027200,2022-09-13T00:00:00Z,256.670,256.670,256.670,256.670,,0,10.51,256.67001342773438,256.67001342773438,256.67001342773438,256.67001342773438,10.50501946288827
redFont,"Sep 12, 2022",1662940800,2022-09-12T00:00:00Z,232.270,232.270,232.270,232.270,,0,-9.65,232.27000427246094,232.27000427246094,232.27000427246094,232.27000427246094,-9.64717872376292
greenFont,"Sep 09, 2022",1662681600,2022-09-09T00:00:00Z,257.070,257.070,257.070,257.070,,0,0.16,257.07000732421875,257.07000732421875,257.07000732421875,257.07000732421875,0.15583974580536403
redFont,"Sep 08, 2022",1662595200,2022-09-08T00:00:00Z,256.670,256.670,256.670,256.670,,0,-0.39,256.67001342773438,256.67001342773438,256.67001342773438,256.67001342773438,-0.3880932774043799
greenFont,"Sep 07, 2022",1662508800,2022-09-07T00:00:00Z,257.670,257.670,257.670,257.670,,0,0.23,257.67001342773438,257.67001342773438,257.67001342773438,257.67001342773438,0.23340183079346652
greenFont,"Sep 06, 2022",1662422400,2022-09-06T00:00:00Z,257.070,257.070,257.070,257.070,,0,0.16,257.07000732421875,257.07000732421875,257.07000732421875,257.07000732421875,0.15583974580536403
redFont,"Sep 05, 2022",1662336000,2022-09-05T00:00:00Z,256.670,256.670,256.670,256.670,,0,0.00,256.67001342773438,256.67001342773438,256.67001342773438,256.67001342773438,0.0
redFont,"Sep 02, 2022",1662076800,2022-09-02T00:00:00Z,256.670,256.670,256.670,256.670,,0,-1.11,256.67001342773438,256.67001342773438,256.67001342773438,256.67001342773438,-1.105800656044424
greenFont,"Sep 01, 2022",1661990400,2022-09-01T00:00:00Z,259.540,259.540,259.540,259.540,,0,0.77,259.54000854492188,259.54000854492188,259.54000854492188,259.54000854492188,0.7726735959128839
redFont,"Aug 31, 2022",1661904000,2022-08-31T00:00:00Z,257.550,257.550,257.550,257.550,,0,-0.05,257.54998779296875,257.54998779296875,257.54998779296875,257.54998779296875,-0.04658114196873248
greenFont,"Aug 30, 2022",1661817600,2022-08-30T00:00:00Z,257.670,257.670,257.670,257.670,,0,0.43,257.67001342773438,257.67001342773438,257.67001342773438,257.67001342773438,0.42873526605375384
greenFont,"Aug 29, 2022",1661731200,2022-08-29T00:00:00Z,256.570,256.570,256.570,256.570,,0,2.84,256.57000732421875,256.57000732421875,256.57000732421875,256.57000732421875,2.8419158722540616
redFont,"Aug 26, 2022",1661472000,2022-08-26T00:00:00Z,249.480,249.480,249.480,249.480,,0,-0.89,249.47999572753906,249.47999572753906,249.47999572753906,249.47999572753906,-0.893814816743292
redFont,"Aug 25, 2022",1661385600,2022-08-25T00:00:00Z,251.730,251.730,251.730,251.730,,0,-1.84,251.72999572753906,251.72999572753906,251.72999572753906,251.72999572753906,-1.8405210586154053
redFont,"Aug 24, 2022",1661299200,2022-08-24T00:00:00Z,256.450,256.450,256.450,256.450,,0,-5.55,256.45001220703125,256.45001220703125,256.45001220703125,256.45001220703125,-5.550227392607107
greenFont,"Aug 23, 2022",1661212800,2022-08-23T00:00:00Z,271.520,271.520,271.520,271.520,,0,3.81,271.51998901367188,271.51998901367188,271.51998901367188,271.51998901367188,3.807918469202051
greenFont,"Aug 22, 2022",1661126400,2022-08-22T00:00:00Z,261.560,261.560,261.560,261.560,,0,4.03,261.55999755859375,261.55999755859375,261.55999755859375,261.55999755859375,4.02895644032219
greenFont,"Aug 19, 2022",1660867200,2022-08-19T00:00:00Z,251.430,251.430,251.430,251.430,,0,0.20,251.42999267578125,251.42999267578125,251.42999267578125,251.42999267578125,0.19925876323841218
greenFont,"Aug 18, 2022",1660780800,2022-08-18T00:00:00Z,250.930,250.930,250.930,250.930,,0,2.06,250.92999267578125,250.92999267578125,250.92999267578125,250.92999267578125,2.057997176996744
greenFont,"Aug 17, 2022",1660694400,2022-08-17T00:00:00Z,245.870,245.870,245.870,245.870,,0,1.77,245.86999511718750,245.86999511718750,245.86999511718750,245.86999511718750,1.7673795139898967
greenFont,"Aug 16, 2022",1660608000,2022-08-16T00:00:00Z,241.600,241.600,241.600,241.600,,0,1.16,241.60000610351562,241.60000610351562,241.60000610351562,241.60000610351562,1.1598225730536162
redFont,"Aug 15, 2022",1660521600,2022-08-15T00:00:00Z,238.830,238.830,238.830,238.830,,0,-3.99,238.83000183105469,238.83000183105469,238.83000183105469,238.83000183105469,-3.9879389623900754
greenFont,"Aug 12, 2022",1660262400,2022-08-12T00:00:00Z,248.750,248.750,248.750,248.750,,0,0.51,248.75000000000000,248.75000000000000,248.75000000000000,248.75000000000000,0.5131745168846445
redFont,"Aug 11, 2022",1660176000,2022-08-11T00:00:00Z,247.480,247.480,247.480,247.480,,0,-6.37,247.47999572753906,247.47999572753906,247.47999572753906,247.47999572753906,-6.374604358450234
greenFont,"Aug 10, 2022",1660089600,2022-08-10T00:00:00Z,264.330,264.330,264.330,264.330,,0,2.05,264.32998657226562,264.32998657226562,264.32998657226562,264.32998657226562,2.050033890748668
redFont,"Aug 09, 2022",1660003200,2022-08-09T00:00:00Z,259.020,259.020,259.020,259.020,,0,-4.35,259.01998901367188,259.01998901367188,259.01998901367188,259.01998901367188,-4.353609043687884
greenFont,"Aug 08, 2022",1659916800,2022-08-08T00:00:00Z,270.810,270.810,270.810,270.810,,0,0.76,270.80999755859375,270.80999755859375,270.80999755859375,270.80999755859375,0.7590164930274649
redFont,"Aug 05, 2022",1659657600,2022-08-05T00:00:00Z,268.770,268.770,268.770,268.770,,0,-1.84,268.76998901367188,268.76998901367188,268.76998901367188,268.76998901367188,-1.8371070137155232
redFont,"Aug 04, 2022",1659571200,2022-08-04T00:00:00Z,273.800,273.800,273.800,273.800,,0,-2.74,273.79998779296875,273.79998779296875,273.79998779296875,273.79998779296875,-2.7388091738106697
greenFont,"Aug 03, 2022",1659484800,2022-08-03T00:00:00Z,281.510,281.510,281.510,281.510,,0,3.58,281.51000976562500,281.51000976562500,281.51000976562500,281.51000976562500,3.580105611167336
greenFont,"Aug 02, 2022",1659398400,2022-08-02T00:00:00Z,271.780,271.780,271.780,271.780,,0,0.71,271.77999877929688,271.77999877929688,271.77999877929688,271.77999877929688,0.7077495448428719
redFont,"Aug 01, 2022",1659312000,2022-08-01T00:00:00Z,269.870,269.870,269.870,269.870,,0,-1.92,269.86999511718750,269.86999511718750,269.86999511718750,269.86999511718750,-1.9225208876715574
redFont,"Jul 29, 2022",1659052800,2022-07-29T00:00:00Z,275.160,275.160,275.160,275.160,,0,-1.82,275.16000366210938,275.16000366210938,275.16000366210938,275.16000366210938,-1.8197409283545813
redFont,"Jul 28, 2022",1658966400,2022-07-28T00:00:00Z,280.260,280.260,280.260,280.260,,0,-5.10,280.26000976562500,280.26000976562500,280.26000976562500,280.26000976562500,-5.09955207405235
greenFont,"Jul 27, 2022",1658880000,2022-07-27T00:00:00Z,295.320,295.320,295.320,295.320,,0,2.71,295.32000732421875,295.32000732421875,295.32000732421875,295.32000732421875,2.7057100049022984
redFont,"Jul 26, 2022",1658793600,2022-07-26T00:00:00Z,287.540,287.540,287.540,287.540,,0,-2.02,287.54000854492188,287.54000854492188,287.54000854492188,287.54000854492188,-2.023988762111286
greenFont,"Jul 25, 2022",1658707200,2022-07-25T00:00:00Z,293.480,293.480,293.480,293.480,,0,0.71,293.48001098632812,293.48001098632812,293.48001098632812,293.48001098632812,0.7138013498320958
redFont,"Jul 22, 2022",1658448000,2022-07-22T00:00:00Z,291.400,291.400,291.400,291.400,,0,-1.30,291.39999389648438,291.39999389648438,291.39999389648438,291.39999389648438,-1.2972993758487226
redFont,"Jul 21, 2022",1658361600,2022-07-21T00:00:00Z,295.230,295.230,295.230,295.230,,0,-4.53,295.23001098632812,295.23001098632812,295.23001098632812,295.23001098632812,-4.533545356078213
redFont,"Jul 20, 2022",1658275200,2022-07-20T00:00:00Z,309.250,309.250,309.250,309.250,,0,-4.17,309.25000000000000,309.25000000000000,309.25000000000000,309.25000000000000,-4.173897239015937
greenFont,"Jul 19, 2022",1658188800,2022-07-19T00:00:00Z,322.720,322.720,322.720,322.720,,0,0.75,322.72000122070312,322.72000122070312,322.72000122070312,322.72000122070312,0.7523972652987571
redFont,"Jul 18, 2022",1658102400,2022-07-18T00:00:00Z,320.310,320.310,320.310,320.310,,0,-1.32,320.30999755859375,320.30999755859375,320.30999755859375,320.30999755859375,-1.3216292249710502
greenFont,"Jul 15, 2022",1657843200,2022-07-15T00:00:00Z,324.600,324.600,324.600,324.600,,0,3.06,324.60000610351562,324.60000610351562,324.60000610351562,324.60000610351562,3.0574355797346695
greenFont,"Jul 14, 2022",1657756800,2022-07-14T00:00:00Z,314.970,314.970,314.970,314.970,,0,2.68,314.97000122070312,314.97000122070312,314.97000122070312,314.97000122070312,2.6797069994142215
greenFont,"Jul 13, 2022",1657670400,2022-07-13T00:00:00Z,306.750,306.750,306.750,306.750,,0,3.66,306.75000000000000,306.75000000000000,306.75000000000000,306.75000000000000,3.656272629342127
greenFont,"Jul 12, 2022",1657584000,2022-07-12T00:00:00Z,295.930,295.930,295.930,295.930,,0,3.14,295.92999267578125,295.92999267578125,295.92999267578125,295.92999267578125,3.1438391476564242
greenFont,"Jul 11, 2022",1657497600,2022-07-11T00:00:00Z,286.910,286.910,286.910,286.910,,0,0.04,286.91000366210938,286.91000366210938,286.91000366210938,286.91000366210938,0.04184075930549873
redFont,"Jul 08, 2022",1657238400,2022-07-08T00:00:00Z,286.790,286.790,286.790,286.790,,0,-4.69,286.79000854492188,286.79000854492188,286.79000854492188,286.79000854492188,-4.689260763633189
greenFont,"Jul 07, 2022",1657152000,2022-07-07T00:00:00Z,300.900,300.900,300.900,300.900,,0,1.01,300.89999389648438,300.89999389648438,300.89999389648438,300.89999389648438,1.0138273681242733
greenFont,"Jul 06, 2022",1657065600,2022-07-06T00:00:00Z,297.880,297.880,297.880,297.880,,0,3.32,297.88000488281250,297.88000488281250,297.88000488281250,297.88000488281250,3.3193463304281776
redFont,"Jul 05, 2022",1656979200,2022-07-05T00:00:00Z,288.310,288.310,288.310,288.310,,0,-0.69,288.30999755859375,288.30999755859375,288.30999755859375,288.30999755859375,-0.6889187478279444
redFont,"Jul 04, 2022",1656892800,2022-07-04T00:00:00Z,290.310,290.310,290.310,290.310,,0,-0.17,290.30999755859375,290.30999755859375,290.30999755859375,290.30999755859375,-0.1719335663139496
redFont,"Jul 01, 2022",1656633600,2022-07-01T00:00:00Z,290.810,290.810,290.810,290.810,,0,-0.41,290.80999755859375,290.80999755859375,290.80999755859375,290.80999755859375,-0.4143522705979813
